time,sim_hour,clamped_hour,is_drain_period,active_vehicles,min_expected_remaining,total_queue,departed_this_step,arrived_this_step,departed_this_hour,arrivals_bucketed_to_this_departure_hour,throughput_bucketed_to_this_departure_hour,vehicles_still_tracked
60.0,0,0,False,60,125,21,0,0,72,12,12,60
120.0,0,0,False,36,101,1,0,0,80,44,44,36
180.0,0,0,False,12,77,5,0,0,88,76,76,12
240.0,0,0,False,8,73,2,0,0,104,96,96,8
300.0,0,0,False,4,69,1,0,0,112,108,108,4
360.0,0,0,False,16,81,3,0,0,136,120,120,16
420.0,0,0,False,8,73,3,0,0,144,136,136,8
480.0,0,0,False,16,81,3,0,1,168,152,152,16
540.0,0,0,False,12,77,3,0,0,176,164,164,12
600.0,0,0,False,10,75,1,0,0,184,174,174,10
660.0,0,0,False,24,89,7,0,0,208,184,184,24
720.0,0,0,False,20,85,2,0,0,224,204,204,20
780.0,0,0,False,12,77,3,8,0,232,220,220,12
840.0,0,0,False,4,69,1,0,0,232,228,228,4
900.0,0,0,False,16,81,3,0,0,256,240,240,16
960.0,0,0,False,28,93,3,0,0,280,252,252,28
1020.0,0,0,False,13,78,5,0,0,288,275,275,13
1080.0,0,0,False,4,69,1,0,0,296,292,292,4
1140.0,0,0,False,8,73,2,0,0,312,304,304,8
1200.0,0,0,False,4,69,1,0,0,320,316,316,4
1260.0,0,0,False,20,85,3,0,1,344,324,324,20
1320.0,0,0,False,20,85,3,0,0,352,332,332,20
1380.0,0,0,False,24,89,7,0,0,376,352,352,24
1440.0,0,0,False,16,81,1,0,0,384,368,368,16
1500.0,0,0,False,12,77,1,0,0,392,380,380,12
1560.0,0,0,False,24,89,3,0,4,416,392,392,24
1620.0,0,0,False,20,85,7,0,0,432,412,412,20
1680.0,0,0,False,8,73,1,0,0,440,432,432,8
1740.0,0,0,False,4,69,1,0,0,448,444,444,4
1800.0,0,0,False,16,81,3,0,0,472,456,456,16
1860.0,0,0,False,8,73,3,0,0,480,472,472,8
1920.0,0,0,False,16,81,3,0,0,504,488,488,16
1980.0,0,0,False,8,73,3,0,0,512,504,504,8
2040.0,0,0,False,8,73,2,0,0,528,520,520,8
2100.0,0,0,False,4,69,1,0,1,536,532,532,4
2160.0,0,0,False,24,73,3,0,0,560,536,536,24
2220.0,0,0,False,51,100,13,0,0,600,549,549,51
2280.0,0,0,False,28,77,1,0,0,608,580,580,28
2340.0,0,0,False,16,65,3,0,0,616,600,600,16
2400.0,0,0,False,4,53,1,0,0,616,612,612,4
2460.0,0,0,False,8,57,2,0,0,632,624,624,8
2520.0,0,0,False,19,68,4,0,1,656,637,637,19
2580.0,0,0,False,9,58,4,0,0,664,655,655,9
2640.0,0,0,False,4,53,1,0,0,672,668,668,4
2700.0,0,0,False,16,65,5,0,0,696,680,680,16
2760.0,0,0,False,8,57,1,0,0,704,696,696,8
2820.0,0,0,False,20,69,3,0,0,728,708,708,20
2880.0,0,0,False,24,73,3,0,0,744,720,720,24
2940.0,0,0,False,12,61,3,0,0,752,740,740,12
3000.0,0,0,False,8,57,1,0,0,760,752,752,8
3060.0,0,0,False,20,61,5,0,0,776,756,756,20
3120.0,0,0,False,36,85,5,8,0,808,772,772,36
3180.0,0,0,False,28,69,7,0,0,824,796,796,28
3240.0,0,0,False,8,49,1,0,0,824,816,816,8
3300.0,0,0,False,4,45,1,0,0,832,828,828,4
3360.0,0,0,False,8,49,2,0,0,848,840,840,8
3420.0,0,0,False,4,45,1,0,0,856,852,852,4
3480.0,0,0,False,16,41,3,0,0,880,864,864,16
3540.0,0,0,False,24,33,4,0,0,904,880,880,24
3600.0,1,1,False,12,13,2,0,0,0,0,0,12
3660.0,1,1,False,64,129,23,0,0,72,12,12,64
3720.0,1,1,False,40,105,1,0,0,80,40,40,40
3780.0,1,1,False,8,73,4,0,0,80,72,72,8
3840.0,1,1,False,4,69,1,0,0,88,84,84,4
3900.0,1,1,False,8,73,0,0,0,96,88,88,8
3960.0,1,1,False,8,73,2,0,0,104,96,96,8
4020.0,1,1,False,5,70,1,0,2,112,107,107,5
4080.0,1,1,False,16,81,0,2,0,128,112,112,16
4140.0,1,1,False,16,81,5,0,0,136,120,120,16
4200.0,1,1,False,12,77,0,0,0,144,132,132,12
4260.0,1,1,False,4,69,1,0,0,144,140,140,4
4320.0,1,1,False,16,81,3,0,0,168,152,152,16
4380.0,1,1,False,4,69,2,0,0,168,164,164,4
4440.0,1,1,False,4,69,1,0,0,176,172,172,4
4500.0,1,1,False,8,73,0,0,0,184,176,176,8
4560.0,1,1,False,20,85,1,0,0,200,180,180,20
4620.0,1,1,False,24,89,5,0,0,216,192,192,24
4680.0,1,1,False,8,73,1,0,0,216,208,208,8
4740.0,1,1,False,4,69,1,0,0,224,220,220,4
4800.0,1,1,False,8,73,1,0,0,232,224,224,8
4860.0,1,1,False,4,69,1,0,0,232,228,228,4
4920.0,1,1,False,4,69,1,0,0,240,236,236,4
4980.0,1,1,False,12,77,4,0,0,256,244,244,12
5040.0,1,1,False,24,89,4,0,0,280,256,256,24
5100.0,1,1,False,20,85,5,0,0,288,268,268,20
5160.0,1,1,False,8,73,0,0,0,288,280,280,8
5220.0,1,1,False,4,69,1,0,0,296,292,292,4
5280.0,1,1,False,0,65,0,0,0,296,296,296,0
5340.0,1,1,False,8,73,2,0,0,312,304,304,8
5400.0,1,1,False,8,73,1,0,0,320,312,312,8
5460.0,1,1,False,4,69,2,0,0,320,316,316,4
5520.0,1,1,False,20,85,3,0,0,344,324,324,20
5580.0,1,1,False,8,73,4,0,0,344,336,336,8
5640.0,1,1,False,16,81,3,0,0,368,352,352,16
